País,WMO,ICAO,Estação,Latitude,Longitude,Altitude
BZ,83933,-,SANTIAGO,-29.18,-54.88,426
BZ,83935,-,JULIO CASTILHO,-29.22,-53.68,516
BZ,83936,-,SANTA MARIA,-29.7,-53.7,95
BZ,83937,SBSM,SANTA MARIA (AEROPORTO),29.72,-53.7,85
BZ,83938,-,SOLEDADE,-29.05,-52.43,717
BZ,83940,-,TAGUARI,-29.8,-51.83,76
BZ,83941,-,BENTO GONCALVES,-29.15,-51.52,619
BZ,83942,-,CAXIAS DO SUL,-29.17,-51.2,759
BZ,83943,-,TAQUARA,-29.75,-50.75,35
BZ,83944,-,CANELA,-29.37,-50.83,829
BZ,83945,-,S F DE PAULA,-29.33,-50.52,922
BZ,83946,-,CAMBARA DO SUL,-29.05,-50.13,905
BZ,83948,SBTR,TORRES,29.35,-49.73,31
BZ,83950,-,LAJEADO,-29.43,-51.95,67
BZ,83951,-,NOVO HAMBURGO,-29.63,-51.13,35
BZ,83952,SBCO,CANOAS,29.95,-51.15,9
BZ,83953,-,SANTANA DO LIVRAMENTO,-30.88,-55.53,231
BZ,83954,-,TRIUNFO-RS,-29.87,-51.38,43
BZ,83955,-,CACEQUI,-29.88,-54.78,125
BZ,83956,-,DOM PEDRITO,-30.98,-54.67,140
BZ,83957,-,SAO GABRIEL,-30.33,-54.32,124
BZ,83959,-,CACAPAVA DO SUL,-30.52,-53.48,450
BZ,83961,-,CAMPO BOM,-29.68,-51.05,25
BZ,83963,-,CACHOEIRA DO SUL,-30,-52.94,77
BZ,83964,-,ENCRUZILHADA DO SUL,-30.53,-52.52,428
BZ,83966,-,TAPES,-30.83,-51.58,5
BZ,83967,-,PORTO ALEGRE,29.95,-51.15,47
BZ,83968,-,VIAMAO,-30.08,-50.78,0
BZ,83970,-,MOSTARDAS,-31.25,-50.9,5
BZ,83971,SBPA,PORTO ALEGRE (AEROPORTO),30,-51.17,3
BZ,83972,-,TEUTONIA,-29.45,-51.8,63
BZ,83980,-,BAGE,-31.33,-54.1,242
BZ,83981,SBBG,BAGE (AEROPORTO),31.38,-54.12,180
BZ,83983,-,PIRATINI,-31.45,-53.1,345
BZ,83984,-,PELOTAS (AEROPORTO),-31.72,-52.32,18
BZ,83985,SBPK,PELOTAS,31.72,-52.33,13
BZ,83992,-,JAGUARAO,-32.57,-53.38,50
BZ,83995,SBRG,RIO GRANDE,32.02,-52.08,2
BZ,83997,-,SANTA VITORIA DO PALMAR,-33.52,-53.35,24
BZ,83998,-,CHUI,-33.75,-53.37,13
BZ,83999,-,MONTE DOURADO,-0.88,-52.6,200
BZ,89091,-,MONTE DOURADO,-0.88,-52.6,206
BZ,-,SWPI,PARINTINS,-2.67,-56.78,27
BZ,-,SBLE,LENCOIS. AEROP. CHAPADA DIAMANTI,12.48,-41.28,511
BZ,-,SBTC,UNA - AER. HOTEL TRANSAMERIC,15.35,-38.98,6
BZ,-,SBJU,JOAZEIRO DO NORTEAER. CARIRI CE,-7.22,-39.27,409
BZ,-,SBIT,ITUMBIARA,18.43,-49.2,497
